Neighborhood,Bedrooms,Bathrooms,Square_Feet,Year_Built,Age,Property_Type,Garage_Spaces,Has_Pool,Has_Fireplace,Has_AC,Lot_Size,Distance_to_School,Distance_to_Shopping,Distance_to_Highway,Price
Industrial,3,4,1886,1958.0,66,Single Family,2,1,0,1,6067.0,0.1,3.3,0.5,295452
Suburban,4,5,2319,1964.0,60,Townhouse,2,1,0,1,2903.0,0.8,6.4,1.3,346874
Hillside,4,6,2316,1970.0,54,Townhouse,3,1,1,1,15650.0,0.9,6.2,2.5,495823
Riverside,3,3,2020,2001.0,23,Single Family,1,0,0,1,6911.0,4.6,1.9,0.2,341505
Suburban,4,3,2184,1984.0,40,Single Family,1,0,0,1,5969.0,1.0,2.6,0.3,307130
Industrial,2,2,1611,2000.0,24,Single Family,0,0,1,1,6499.0,2.1,2.4,8.2,183796
University,2,2,1259,2004.0,20,Single Family,0,0,0,1,5737.0,0.5,1.9,3.6,181987
Riverside,2,1,946,1993.0,31,Single Family,2,0,0,0,7450.0,2.3,0.0,1.0,196577
University,1,1,1072,,10,Single Family,1,1,1,1,11705.0,0.6,0.9,1.2,224339
Uptown,3,4,1339,1974.0,50,Single Family,0,0,0,1,8292.0,0.8,0.2,1.5,279475
Uptown,5,6,2534,1996.0,28,Townhouse,2,0,0,1,3837.0,1.0,0.7,0.2,558316
Downtown,1,1,1091,2005.0,19,Single Family,0,0,0,0,4556.0,3.9,0.1,4.0,200956
University,2,3,1364,1987.0,37,Condo,2,0,0,1,8523.0,0.1,5.1,0.6,232232
Industrial,3,3,2155,1960.0,64,Single Family,1,0,1,1,5502.0,0.3,1.2,4.9,256816
Hillside,5,4,2106,2016.0,8,Duplex,2,0,0,1,7427.0,1.8,0.4,5.6,480405
Riverside,2,3,1283,1964.0,60,Single Family,0,0,0,1,15937.0,1.3,1.8,3.1,268414
Suburban,3,4,1703,1950.0,74,Single Family,2,0,0,1,4982.0,0.4,0.4,4.4,257370
Industrial,1,2,631,1956.0,68,Single Family,0,0,0,1,3661.0,0.5,3.3,0.6,53185
Industrial,2,1,1069,1950.0,74,Single Family,1,0,1,0,5779.0,0.7,0.7,2.6,130960
Uptown,6,6,2730,1998.0,26,Single Family,2,1,0,0,2602.0,0.9,0.8,3.4,565819
University,5,6,2280,2022.0,2,Single Family,0,0,1,0,11858.0,2.6,4.1,3.3,381943
Downtown,1,2,878,1978.0,46,Townhouse,1,0,0,0,4522.0,0.0,1.6,0.4,117719
Downtown,5,6,2379,1975.0,49,Single Family,2,1,1,1,5078.0,3.4,4.4,1.3,552943
Riverside,3,4,1763,1994.0,30,Townhouse,2,0,0,1,3999.0,0.8,1.1,1.2,340441
Uptown,4,5,2229,,4,Single Family,0,0,0,1,2925.0,0.4,0.8,2.5,433521
Industrial,3,4,1816,1961.0,63,Condo,0,0,1,1,7835.0,1.1,1.4,4.3,202421
Hillside,3,5,1617,1981.0,43,Single Family,0,1,0,1,5746.0,1.6,0.1,2.5,360165
Uptown,3,4,1756,1969.0,55,Single Family,0,0,0,1,2585.0,0.1,0.3,4.2,309565
Riverside,3,3,1907,2000.0,24,Single Family,3,0,0,1,6883.0,1.9,0.5,0.3,367129
Riverside,2,3,1389,1985.0,39,Single Family,2,0,0,0,9096.0,2.1,3.4,6.3,249637
Uptown,1,1,1271,,8,Single Family,1,0,1,1,6674.0,0.3,2.6,2.3,250008
Riverside,2,2,1496,1950.0,74,Single Family,3,1,0,0,9797.0,0.3,0.4,0.1,231660
Uptown,4,5,2443,1976.0,48,Townhouse,2,0,1,1,13095.0,0.3,0.6,3.1,526791
Suburban,2,4,801,1989.0,35,Condo,2,0,0,1,10443.0,2.4,5.8,2.2,212066
Uptown,3,5,1719,1963.0,61,Single Family,1,0,1,1,8647.0,0.5,0.2,0.7,353269
University,5,5,2435,2018.0,6,Duplex,1,0,0,0,10436.0,2.4,1.6,4.3,375011
Uptown,1,2,875,1955.0,69,Condo,2,1,1,1,14681.0,1.2,1.5,8.1,207493
Riverside,3,3,1539,1982.0,42,Condo,0,1,0,1,3676.0,2.2,2.6,1.2,292164
University,3,5,1779,2004.0,20,Single Family,1,0,0,0,9898.0,1.2,0.6,2.0,314165
Riverside,4,6,1738,1968.0,56,Single Family,0,1,1,0,5009.0,0.6,5.5,0.4,368444
Downtown,2,3,1380,1978.0,46,Single Family,0,0,0,1,8725.0,3.6,1.1,8.0,289144
Downtown,3,4,1545,2010.0,14,Townhouse,2,1,0,0,4033.0,1.9,0.7,1.2,346532
University,4,5,1999,2019.0,5,Single Family,2,0,1,1,10267.0,1.0,0.8,0.6,367610
Suburban,5,6,2587,1973.0,51,Single Family,1,0,0,1,8839.0,1.5,0.9,2.0,399562
Downtown,3,2,1715,1972.0,52,Single Family,1,0,0,1,12498.0,1.4,0.4,0.1,380841
Uptown,3,3,1910,1959.0,65,Single Family,2,0,0,0,7186.0,0.7,5.3,0.9,336203
Riverside,3,4,1506,2003.0,21,Townhouse,0,0,1,1,7090.0,0.8,0.4,0.2,293815
Downtown,4,5,2083,1990.0,34,Single Family,2,1,0,1,7120.0,0.6,4.3,0.4,492309
Downtown,3,3,1877,1998.0,26,Townhouse,2,1,1,0,15383.0,11.5,1.0,0.4,454938
Suburban,1,3,972,1966.0,58,Townhouse,0,0,1,0,9900.0,1.3,0.6,6.2,160219
University,5,5,2585,2005.0,19,Single Family,2,0,1,0,12034.0,0.1,0.4,8.0,425041
University,3,4,1921,1994.0,30,Single Family,2,1,0,1,10173.0,1.1,1.4,1.9,310668
Industrial,3,4,1618,1979.0,45,Townhouse,0,0,1,1,10645.0,0.1,2.2,3.0,241972
Suburban,2,3,1176,1993.0,31,Single Family,0,0,0,0,3574.0,0.5,4.6,3.6,179938
Uptown,3,4,1815,2023.0,1,Single Family,3,0,1,1,6320.0,0.9,2.1,1.5,432076
University,3,3,1670,2004.0,20,Single Family,0,0,0,1,6136.0,1.1,1.3,1.4,218272
Riverside,3,3,1924,1968.0,56,Single Family,2,0,1,1,8177.0,5.6,0.1,3.4,306598
Suburban,2,3,1373,,46,Single Family,2,0,0,1,7689.0,6.0,4.9,1.4,210367
Downtown,3,4,1575,1951.0,73,Single Family,1,0,0,0,3176.0,0.2,4.7,2.6,232418
Riverside,6,6,2967,1985.0,39,Single Family,0,0,0,0,8128.0,1.2,1.0,2.2,505000
Riverside,1,2,719,1968.0,56,Single Family,1,1,0,1,2000.0,2.5,0.1,2.2,92235
Downtown,5,5,2689,1956.0,68,Condo,1,0,0,0,10329.0,0.4,2.6,5.3,557874
Suburban,3,4,1420,1975.0,49,Single Family,2,0,0,1,8311.0,2.1,3.1,3.7,239005
Downtown,4,5,2344,1987.0,37,Condo,3,0,0,1,11736.0,3.2,1.6,9.7,537660
Industrial,4,4,2164,1952.0,72,Single Family,2,0,1,1,8638.0,1.6,1.0,4.7,245373
Riverside,3,2,1667,2015.0,9,Townhouse,1,0,0,1,6612.0,0.6,3.8,0.5,294853
Hillside,4,5,2252,2020.0,4,Single Family,2,0,0,1,3271.0,3.8,0.4,4.0,468645
Hillside,4,5,2202,,32,Townhouse,2,0,1,1,6816.0,3.2,1.2,3.3,440932
Uptown,3,4,1966,2011.0,13,Single Family,3,0,1,1,5636.0,1.9,0.0,3.1,396945
University,2,3,1564,2020.0,4,Townhouse,1,0,0,1,9114.0,0.7,0.4,2.0,219650
Downtown,3,4,1770,1973.0,51,Single Family,2,0,0,1,6736.0,2.4,5.7,0.2,326486
Downtown,4,6,1925,1988.0,36,Single Family,2,0,0,1,9814.0,0.6,1.7,9.1,441821
Uptown,4,5,1991,2017.0,7,Single Family,1,0,1,0,12061.0,0.4,3.3,5.7,447279
Uptown,4,4,2085,1993.0,31,Condo,3,1,1,0,3757.0,1.1,1.3,2.0,444984
Uptown,3,3,1916,1954.0,70,Townhouse,0,0,1,1,7992.0,8.8,3.6,0.5,317616
Riverside,4,4,2008,2004.0,20,Single Family,0,0,0,1,7856.0,2.4,1.5,5.2,375503
Industrial,2,3,1225,1979.0,45,Townhouse,2,0,1,1,,2.0,0.0,1.7,162270
Downtown,3,3,2069,1978.0,46,Townhouse,0,1,0,1,10059.0,0.9,4.6,1.5,450527
Riverside,1,3,879,1975.0,49,Condo,2,0,0,0,12763.0,0.6,0.3,3.3,173846
Uptown,2,3,1173,1975.0,49,Condo,2,0,0,1,4671.0,2.9,1.2,4.3,171282
Downtown,3,4,1855,1986.0,38,Townhouse,0,0,0,1,3283.0,1.3,1.3,0.2,365415
Riverside,3,3,1688,2002.0,22,Single Family,1,0,1,1,8565.0,2.5,0.1,4.4,337152
Industrial,3,2,1422,1979.0,45,Townhouse,2,0,1,1,9348.0,1.0,0.1,4.0,221973
Riverside,3,2,1908,1952.0,72,Single Family,2,0,1,1,10160.0,2.1,2.9,2.7,324633
Industrial,3,3,1550,1992.0,32,Duplex,3,0,0,1,5716.0,3.0,0.7,1.2,194297
Uptown,2,1,1308,1956.0,68,Single Family,2,1,1,1,3266.0,0.7,1.1,0.5,220325
Industrial,3,4,1686,1998.0,26,Single Family,1,0,1,1,11656.0,0.0,1.7,0.3,260676
Downtown,2,3,1346,2022.0,2,Single Family,0,0,0,1,9537.0,0.4,0.9,0.0,347141
Uptown,1,2,500,1990.0,34,Townhouse,3,0,1,0,6863.0,3.7,3.0,0.7,149314
Downtown,3,4,1632,2003.0,21,Condo,2,1,1,1,2000.0,1.7,4.3,1.6,386009
Hillside,3,3,1924,2018.0,6,Single Family,0,0,0,1,5992.0,2.0,0.1,0.8,360658
Suburban,3,4,1953,1976.0,48,Townhouse,2,1,1,1,10086.0,0.6,2.0,1.1,379712
Industrial,3,4,1501,1957.0,67,Townhouse,2,0,1,1,9304.0,1.8,0.8,1.5,223612
Suburban,3,3,1884,1981.0,43,Townhouse,2,0,1,1,3865.0,1.6,1.8,1.1,303121
Suburban,4,5,1947,2013.0,11,Single Family,1,0,1,1,9857.0,0.3,1.3,3.9,350457
Industrial,3,3,1625,1959.0,65,Condo,2,1,0,1,7735.0,5.2,0.8,2.0,204514
Uptown,3,4,1635,1962.0,62,Single Family,2,0,1,1,11801.0,0.7,0.2,0.1,344739
Hillside,1,3,921,2012.0,12,Townhouse,2,0,1,0,5906.0,0.6,1.6,0.8,215690
Downtown,2,1,1500,1984.0,40,Single Family,3,0,0,1,6149.0,0.7,0.2,3.7,273688
Riverside,3,4,1752,2010.0,14,Single Family,2,0,0,0,8345.0,0.1,0.3,1.1,371675
Downtown,3,4,1674,2003.0,21,Condo,2,0,1,0,6747.0,1.5,8.1,7.6,380247
Riverside,3,5,1893,1957.0,67,Single Family,3,1,0,1,5379.0,0.4,0.8,3.7,359774
Downtown,3,3,1539,1978.0,46,Single Family,0,0,1,1,13524.0,2.4,1.8,1.0,347973
Industrial,3,4,1684,1990.0,34,Townhouse,0,0,1,0,12262.0,0.8,0.6,2.2,251107
Hillside,4,3,2299,1979.0,45,Single Family,2,0,0,1,5120.0,0.9,4.0,3.3,410485
Riverside,4,4,2205,1970.0,54,Single Family,0,0,0,1,8660.0,1.6,0.7,0.6,328346
University,4,3,2006,1960.0,64,Single Family,0,0,0,0,3404.0,2.2,0.9,0.8,254169
Uptown,5,6,2197,1951.0,73,Single Family,0,0,0,1,13103.0,0.4,1.9,2.1,446720
Downtown,1,2,962,1999.0,25,Single Family,1,0,1,1,10280.0,5.1,4.1,7.8,216436
Downtown,2,3,984,1990.0,34,Single Family,1,1,0,1,11010.0,1.5,3.4,1.3,309197
Riverside,1,3,857,2015.0,9,Condo,1,0,0,1,7245.0,0.0,0.6,1.5,216008
Uptown,3,2,1935,1952.0,72,Single Family,3,0,1,1,11524.0,0.8,3.5,0.6,346473
Uptown,4,4,2219,2000.0,24,Single Family,2,0,1,1,11532.0,0.9,2.4,2.7,454058
Industrial,2,1,895,2017.0,7,Single Family,2,0,0,1,7506.0,2.5,9.2,4.0,121361
University,5,5,2540,1974.0,50,Single Family,0,0,1,1,4552.0,0.5,5.5,1.7,371912
Industrial,1,1,836,1979.0,45,Townhouse,2,1,0,1,9305.0,0.6,1.5,4.2,149145
Industrial,5,5,2245,1960.0,64,Townhouse,2,0,1,1,7620.0,0.1,2.8,1.1,256395
Industrial,3,3,1767,1966.0,58,Single Family,2,1,0,0,13557.0,0.5,1.7,3.7,264049
Industrial,2,2,1201,1975.0,49,Single Family,1,0,0,0,8151.0,1.9,1.8,0.9,148547
Industrial,3,3,1602,1972.0,52,Single Family,1,0,1,1,8319.0,1.5,0.2,4.6,220996
Hillside,2,2,1324,2005.0,19,Townhouse,2,1,0,1,10420.0,0.1,0.0,5.3,314220
Uptown,2,4,1174,2001.0,23,Single Family,2,1,0,0,8009.0,0.2,0.1,4.8,264972
Industrial,2,3,1319,1997.0,27,Single Family,2,1,1,1,10083.0,0.7,6.8,0.7,201335
Uptown,4,6,1981,1969.0,55,Single Family,2,0,1,0,6382.0,2.0,0.3,3.6,380139
Uptown,3,3,1592,1951.0,73,Townhouse,1,0,0,0,4644.0,2.7,0.1,2.3,227080
Suburban,2,2,1498,1980.0,44,Condo,2,0,1,0,5262.0,0.0,0.7,12.8,227383
Hillside,3,4,1918,1976.0,48,Condo,0,0,1,1,6988.0,0.6,1.8,1.3,343062
Industrial,4,4,1758,1951.0,73,Single Family,2,0,1,1,8355.0,0.8,5.9,4.4,224890
Downtown,2,2,1449,1953.0,71,Single Family,3,1,0,0,9497.0,3.6,2.4,1.4,311305
Riverside,3,3,1979,1962.0,62,Single Family,2,0,1,1,9366.0,1.0,0.6,1.5,305294
University,2,2,1611,1984.0,40,Townhouse,1,1,1,0,8030.0,0.5,5.6,0.4,268831
Downtown,2,2,1404,2021.0,3,Duplex,1,0,1,1,4789.0,0.7,0.1,0.8,361989
Hillside,3,3,1488,2015.0,9,Single Family,2,0,0,0,10096.0,0.9,7.7,0.5,289796
Riverside,2,3,1425,1955.0,69,Single Family,2,0,1,1,3495.0,1.7,0.1,0.5,224224
Hillside,3,2,1526,1980.0,44,Single Family,2,0,0,1,4497.0,0.1,2.8,0.0,307210
Uptown,4,4,2031,1959.0,65,Single Family,2,1,1,1,8135.0,0.7,0.1,4.7,396200
Riverside,2,3,1376,1970.0,54,Single Family,0,0,1,0,10389.0,1.6,5.4,1.9,206817
Uptown,3,3,1539,2023.0,1,Single Family,2,0,0,0,9881.0,0.5,0.2,4.9,383922
Downtown,2,2,1070,1972.0,52,Single Family,2,0,0,1,7698.0,1.3,0.1,2.8,230744
Downtown,5,6,2593,1952.0,72,Single Family,3,0,0,1,9334.0,0.7,4.4,5.3,545712
Riverside,3,3,2073,1981.0,43,Townhouse,1,1,1,1,4803.0,2.1,0.2,2.1,362044
Riverside,4,3,2348,1969.0,55,Single Family,2,0,0,1,6314.0,0.1,3.2,0.3,389194
Industrial,3,3,1841,2023.0,1,Single Family,1,0,1,1,6360.0,3.8,2.7,2.9,201037
Hillside,1,1,1095,1978.0,46,Single Family,2,1,1,1,5075.0,0.3,1.8,3.4,177148
Industrial,3,4,1827,2001.0,23,Condo,2,0,1,1,6922.0,0.3,0.9,3.0,256809
Hillside,5,6,2589,1995.0,29,Townhouse,1,1,1,0,7373.0,2.8,4.9,4.8,486271
Industrial,3,3,1879,1983.0,41,Single Family,1,0,0,1,,3.1,4.1,3.9,213132
Uptown,4,5,1826,2010.0,14,Single Family,2,0,1,1,7229.0,0.1,1.1,1.7,432413
Riverside,4,5,2139,2021.0,3,Single Family,2,1,0,1,,3.6,0.5,5.1,412346
Downtown,2,2,1283,2020.0,4,Townhouse,0,1,0,0,9157.0,0.5,0.6,3.5,326955
Hillside,2,3,1315,2019.0,5,Townhouse,1,0,0,1,6783.0,1.4,0.5,0.4,261690
Hillside,3,3,1607,1960.0,64,Condo,2,0,1,1,6780.0,0.1,1.6,2.3,277501
Downtown,3,3,1804,2012.0,12,Single Family,3,1,1,1,3835.0,0.7,4.1,3.9,442368
Industrial,4,3,1936,1970.0,54,Duplex,0,0,0,0,12653.0,0.9,3.0,2.4,257998
Hillside,5,5,2393,1952.0,72,Duplex,2,0,1,1,12795.0,1.4,3.2,8.9,480796
University,3,3,1569,1959.0,65,Condo,0,0,1,0,2994.0,1.1,1.2,0.3,184531
Uptown,2,3,1472,1976.0,48,Single Family,1,0,0,1,7293.0,0.9,0.8,3.8,275882
Riverside,4,3,2097,1961.0,63,Single Family,1,0,1,1,10783.0,4.8,2.8,5.2,324655
Downtown,2,2,1207,1956.0,68,Single Family,2,1,0,1,6924.0,0.3,3.2,3.6,249992
Riverside,4,4,2025,1966.0,58,Single Family,0,0,0,1,6181.0,0.3,2.4,1.5,332751
University,3,4,1700,2014.0,10,Single Family,2,1,1,1,5986.0,1.9,0.1,1.5,316809
Hillside,3,4,2024,2013.0,11,Townhouse,1,0,0,1,8938.0,0.1,1.8,2.6,405899
Hillside,1,2,652,1975.0,49,Townhouse,3,0,0,0,15846.0,1.0,0.9,1.5,163925
University,3,4,1835,1964.0,60,Condo,2,0,1,1,10483.0,1.0,0.4,6.4,254595
Downtown,3,4,1794,1982.0,42,Single Family,2,0,1,1,4674.0,0.6,2.4,0.3,399034
Uptown,3,3,1523,,13,Single Family,2,0,1,0,6113.0,4.0,0.6,3.1,316221
Suburban,2,3,1593,1996.0,28,Townhouse,2,0,0,1,7196.0,0.5,4.9,0.4,293742
Downtown,4,5,2207,1984.0,40,Single Family,2,0,0,0,5422.0,0.5,0.7,2.3,439028
Suburban,4,6,1998,2014.0,10,Single Family,1,0,1,0,4862.0,0.4,1.6,3.8,390280
University,2,3,928,2021.0,3,Duplex,0,0,0,1,10249.0,0.2,3.5,0.5,144929
Industrial,1,1,945,1974.0,50,Townhouse,2,1,0,1,6491.0,0.7,1.0,3.7,115952
Suburban,1,1,891,2006.0,18,Single Family,1,1,0,1,9115.0,1.7,3.5,0.5,168087
Uptown,3,3,1493,1981.0,43,Condo,1,0,1,1,13347.0,2.0,2.6,2.9,342511
Industrial,3,4,1491,2012.0,12,Townhouse,2,0,0,1,6426.0,2.5,5.1,2.1,229361
Suburban,3,3,1873,1961.0,63,Townhouse,1,0,0,0,8823.0,0.3,0.8,1.1,314929
University,2,2,908,2012.0,12,Condo,2,1,0,0,4929.0,0.1,0.2,0.4,170741
Industrial,3,4,1762,1950.0,74,Single Family,0,0,0,1,9246.0,5.5,1.1,4.0,175019
University,3,3,1662,2000.0,24,Townhouse,3,0,0,1,11900.0,0.0,3.1,1.4,301518
Suburban,3,4,1799,2019.0,5,Single Family,3,1,0,1,11745.0,4.9,1.2,0.3,371658
University,6,6,2841,1957.0,67,Single Family,3,1,0,1,8126.0,2.6,0.6,4.4,421487
Uptown,2,2,1358,2017.0,7,Condo,1,0,0,0,6443.0,3.6,0.1,0.8,266252
Suburban,3,3,1551,1954.0,70,Single Family,2,0,0,1,8710.0,0.7,0.8,4.0,221752
Suburban,3,4,1690,1988.0,36,Townhouse,3,0,0,1,8153.0,0.3,2.5,2.5,262698
Suburban,3,3,1797,1972.0,52,Condo,3,0,0,1,9383.0,1.4,0.3,0.6,325330
Downtown,4,4,2130,2017.0,7,Condo,2,0,0,0,6096.0,2.0,0.8,0.2,497182
Downtown,3,5,1776,2001.0,23,Condo,1,0,0,1,6799.0,0.2,0.0,2.7,379224
Downtown,6,6,2714,,71,Single Family,2,0,0,0,7345.0,2.4,2.6,0.1,588837
Uptown,2,3,1181,1996.0,28,Single Family,2,0,1,1,9999.0,0.4,4.3,0.2,282640
Industrial,2,3,1185,1970.0,54,Single Family,1,0,0,0,10397.0,1.0,1.7,3.6,145072
University,4,4,2044,2005.0,19,Single Family,2,1,1,1,6705.0,2.9,0.1,2.3,359255
Hillside,3,4,1971,2015.0,9,Single Family,2,0,0,1,4547.0,0.3,0.5,1.2,381751
Suburban,2,2,1229,2008.0,16,Single Family,2,1,0,1,9087.0,0.4,1.2,2.3,230724
University,1,2,671,1956.0,68,Townhouse,1,1,1,1,10195.0,0.1,1.8,2.7,106443
Suburban,1,1,1008,1998.0,26,Duplex,2,0,0,0,7597.0,0.2,1.4,2.5,158526
Uptown,4,5,2369,1965.0,59,Townhouse,3,0,0,1,5859.0,0.2,5.0,3.1,417792
Suburban,2,2,1047,1966.0,58,Townhouse,2,0,1,1,6566.0,0.3,5.6,8.5,159000
Downtown,2,3,1694,1983.0,41,Single Family,2,0,0,1,12918.0,0.5,0.2,1.5,406774
Hillside,2,2,1383,1982.0,42,Single Family,2,1,0,1,8665.0,2.5,0.3,1.1,274708
Riverside,3,3,1906,1975.0,49,Single Family,2,0,0,1,11040.0,3.7,0.9,0.1,292011
Suburban,1,1,1193,2015.0,9,Townhouse,2,0,1,1,5590.0,0.8,1.1,0.5,199776
University,3,3,1894,2012.0,12,Single Family,1,0,1,1,11630.0,0.2,1.8,0.3,302901
Downtown,1,2,877,,34,Townhouse,1,0,0,1,10684.0,0.4,3.0,1.2,202773
Riverside,4,4,2343,2007.0,17,Single Family,1,0,0,0,7692.0,2.0,0.3,2.8,425629
Hillside,2,4,1350,1959.0,65,Single Family,0,0,1,0,9826.0,1.7,3.2,0.1,219599
Riverside,3,5,1918,1964.0,60,Single Family,1,0,0,0,11881.0,5.1,1.9,3.9,301129
Downtown,4,5,2339,1991.0,33,Single Family,0,0,0,0,4675.0,0.0,7.9,1.5,465205
Industrial,3,3,1481,2006.0,18,Single Family,2,1,1,1,6422.0,2.1,2.1,9.9,211309
Industrial,3,3,1858,1966.0,58,Townhouse,1,0,0,0,9572.0,1.1,2.5,2.5,253602
Riverside,2,3,1263,2009.0,15,Townhouse,0,0,1,0,8060.0,3.5,0.4,4.4,251893
Uptown,2,2,1327,1958.0,66,Single Family,0,0,1,1,9233.0,1.3,2.9,5.9,207767
University,3,2,1725,1985.0,39,Condo,2,0,1,1,10064.0,0.9,0.2,6.6,253022
University,6,6,2917,2022.0,2,Single Family,0,0,0,1,9495.0,1.6,2.1,2.2,470234
Riverside,3,4,2004,1985.0,39,Duplex,1,0,0,1,7241.0,2.7,0.1,1.5,349299
Suburban,3,4,1426,1997.0,27,Single Family,0,0,0,0,7448.0,0.5,0.2,2.5,266237
Suburban,4,4,1755,2000.0,24,Townhouse,2,0,0,0,12666.0,0.2,0.2,1.5,372317
University,3,4,1313,2019.0,5,Single Family,3,0,0,1,8258.0,0.9,0.1,0.8,256749
University,1,1,1113,2023.0,1,Single Family,3,0,0,1,12065.0,0.4,0.8,1.2,217590
Industrial,3,3,1545,2017.0,7,Single Family,1,0,0,1,12274.0,0.8,10.4,0.8,239517
Uptown,5,6,2526,1971.0,53,Single Family,2,0,0,1,5657.0,7.1,0.9,0.9,477785
Downtown,2,2,1277,1955.0,69,Single Family,2,0,0,0,10206.0,1.3,2.9,0.3,234640
Suburban,3,3,1522,1975.0,49,Single Family,1,0,0,1,4759.0,1.8,0.3,1.7,231706
University,2,1,1470,1952.0,72,Duplex,1,0,0,0,12851.0,1.7,1.2,0.8,169098
Industrial,3,4,1674,2001.0,23,Condo,0,0,0,1,8565.0,2.6,0.4,1.8,209139
Hillside,1,2,852,2023.0,1,Townhouse,2,1,1,1,8420.0,4.3,0.4,4.7,266023
Industrial,3,4,1746,2009.0,15,Townhouse,1,0,1,1,5404.0,1.6,0.2,1.8,250501
Suburban,4,5,2244,2012.0,12,Duplex,1,0,0,1,6179.0,1.0,1.1,9.3,389190
Suburban,2,2,1108,2014.0,10,Single Family,1,0,0,1,8678.0,0.6,0.2,0.5,215504
Industrial,3,3,1874,2001.0,23,Single Family,2,0,0,1,8272.0,0.7,4.8,5.7,254425
Downtown,4,4,2389,1963.0,61,Condo,2,0,0,1,6844.0,0.6,1.2,0.9,468307
Riverside,5,4,2214,2021.0,3,Townhouse,2,0,0,1,10635.0,0.6,3.6,8.2,434086
Suburban,2,2,1355,2017.0,7,Single Family,2,0,1,1,7992.0,1.8,7.8,0.8,232214
Industrial,3,5,1639,1977.0,47,Single Family,2,0,0,1,4968.0,1.3,2.3,4.1,218928
University,2,1,1439,2020.0,4,Single Family,0,0,1,1,10161.0,0.3,4.6,0.2,221085
Industrial,6,6,2656,1959.0,65,Condo,1,0,0,0,4522.0,5.2,0.3,3.0,279522
Uptown,5,5,2825,2006.0,18,Single Family,3,0,0,1,2229.0,0.8,3.5,0.7,544366
Riverside,3,3,1378,2015.0,9,Duplex,3,0,0,1,8288.0,1.3,0.6,3.3,272516
Hillside,4,6,2051,1999.0,25,Condo,2,0,1,1,4907.0,1.8,1.3,3.0,415938
Downtown,3,3,1786,1963.0,61,Townhouse,1,0,0,1,8534.0,1.4,2.1,7.7,365035
Hillside,3,3,1562,1965.0,59,Single Family,0,0,0,0,10449.0,0.6,4.7,3.0,247715
Riverside,1,2,731,2003.0,21,Single Family,1,0,1,0,10953.0,2.4,4.8,1.6,176551
Riverside,4,4,2144,1992.0,32,Single Family,2,0,0,1,9492.0,0.2,0.2,0.6,450453
Riverside,2,2,1315,1991.0,33,Single Family,2,0,0,0,4021.0,1.3,0.9,3.2,237640
Hillside,4,4,2101,1971.0,53,Townhouse,2,0,0,0,,0.5,3.2,0.4,367198
University,4,5,2271,2017.0,7,Single Family,2,0,0,0,8016.0,1.4,2.4,5.3,341283
Riverside,4,6,2021,1968.0,56,Single Family,0,0,0,0,8045.0,0.4,0.1,0.9,369651
Industrial,1,2,963,2015.0,9,Single Family,0,0,0,1,5174.0,2.2,1.2,2.2,127243
Hillside,2,2,1198,1988.0,36,Condo,0,0,0,1,6612.0,0.4,3.5,2.7,228074
Riverside,2,3,1130,2022.0,2,Single Family,2,0,0,1,10431.0,3.3,2.7,1.4,264601
Industrial,3,3,1643,1968.0,56,Condo,1,1,1,1,9511.0,3.0,1.1,3.3,234334
University,1,1,800,,59,Single Family,2,0,1,0,7074.0,0.7,2.7,0.9,75650
Uptown,5,5,2410,2003.0,21,Single Family,2,0,0,0,11088.0,0.7,1.6,0.1,547657
University,3,3,1933,1974.0,50,Single Family,1,0,0,1,4020.0,1.8,4.9,9.6,202640
Riverside,2,3,1249,1967.0,57,Single Family,0,0,0,1,10466.0,0.1,1.8,1.2,206958
Hillside,3,4,1567,1972.0,52,Townhouse,0,0,0,0,10053.0,0.1,1.0,3.7,308640
Suburban,3,5,1705,1960.0,64,Single Family,2,0,0,1,10240.0,0.2,4.0,2.1,306885
Riverside,3,4,1720,1988.0,36,Single Family,1,1,0,1,8889.0,1.2,0.1,3.3,365965
Suburban,3,4,1462,2017.0,7,Townhouse,1,0,1,1,6040.0,0.2,4.6,0.4,282682
Industrial,5,4,2440,1974.0,50,Townhouse,2,0,0,0,9775.0,0.5,2.4,2.2,318051
Uptown,3,2,1632,2012.0,12,Townhouse,2,0,1,1,6753.0,1.6,5.6,1.5,326296
Downtown,6,6,2865,1979.0,45,Single Family,2,0,0,0,8615.0,0.0,0.6,1.8,626421
University,4,4,2245,1994.0,30,Single Family,2,0,0,1,5816.0,0.3,2.4,10.2,283810
Uptown,2,3,1327,2010.0,14,Duplex,2,0,0,1,6965.0,4.0,3.3,0.4,313023
Riverside,5,5,2745,2000.0,24,Condo,2,0,0,1,7570.0,1.6,2.4,4.2,550937
Suburban,2,1,1297,1958.0,66,Duplex,1,0,0,0,9199.0,0.5,0.5,1.2,135990
University,4,4,2455,1951.0,73,Single Family,1,1,0,0,9701.0,0.1,0.6,1.0,321683
Suburban,3,3,1607,1954.0,70,Townhouse,2,0,1,1,13087.0,1.3,1.7,0.9,299260
Hillside,4,3,1946,2011.0,13,Townhouse,2,0,0,1,8444.0,0.4,1.2,1.3,395517
Suburban,4,5,2209,2018.0,6,Single Family,2,0,0,1,5156.0,4.8,2.7,1.3,406418
Hillside,4,4,2372,2001.0,23,Condo,2,1,1,1,10399.0,1.7,1.0,0.9,528681
Industrial,4,5,1824,1954.0,70,Townhouse,3,0,1,0,9012.0,5.5,3.9,3.3,219536
